IBOV - Carteira do Dia 23/02/22
Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,335;
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,210;
ABEV3;AMBEV S/A;ON;4.359.908.680;2,983;
AMER3;AMERICANAS;ON      NM;571.352.399;0,792;
ASAI3;ASSAI;ON      NM;794.310.097;0,484;
AZUL4;AZUL;PN      N2;327.741.172;0,427;
B3SA3;B3;ON      NM;6.065.856.318;4,060;
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,641;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,162;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,723;
BRML3;BR MALLS PAR;ON      NM;834.170.584;0,375;
BBDC3;BRADESCO;ON      N1;1.378.842.305;1,129;
BBDC4;BRADESCO;PN      N1;4.691.427.537;4,578;
BRAP4;BRADESPAR;PN      N1;251.414.753;0,344;
BBAS3;BRASIL;ON      NM;1.420.530.937;2,353;
BRKM5;BRASKEM;PNA     N1;264.642.296;0,581;
BRFS3;BRF SA;ON      NM;1.081.759.800;0,974;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,549;
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,348;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,667;
CMIG4;CEMIG;PN      N1;1.114.214.662;0,660;
CIEL3;CIELO;ON      NM;1.144.359.228;0,139;
COGN3;COGNA ON;ON      NM;1.828.106.676;0,207;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,523;
CSAN3;COSAN;ON      NM;1.169.237.744;1,116;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,264;
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,326;
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,145;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,206;
DXCO3;DEXCO;ON      NM;295.712.871;0,192;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,108;
ELET3;ELETROBRAS;ON      N1;358.028.908;0,568;
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,380;
EMBR3;EMBRAER;ON      NM;734.558.205;0,598;
ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,227;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,512;
ENEV3;ENEVA;ON      NM;1.261.568.398;0,797;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,483;
EQTL3;EQUATORIAL;ON      NM;1.128.906.085;1,319;
EZTC3;EZTEC;ON      NM;101.618.236;0,087;
FLRY3;FLEURY;ON      NM;303.425.821;0,271;
GGBR4;GERDAU;PN      N1;1.097.534.498;1,297;
GOAU4;GERDAU MET;PN      N1;698.275.321;0,341;
GOLL4;GOL;PN      N2;167.095.214;0,143;
NTCO3;GRUPO NATURA;ON      NM;844.296.775;0,868;
SOMA3;GRUPO SOMA;ON      NM;489.194.623;0,300;
HAPV3;HAPVIDA;ON      NM;4.411.767.198;2,547;
HYPE3;HYPERA;ON      NM;410.253.528;0,625;
IGTI11;IGUATEMI S.A;UNT     N1;169.637.560;0,151;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,187;
ITSA4;ITAUSA;PN      N1;4.736.048.447;2,253;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.780.002.924;5,725;
JBSS3;JBS;ON      NM;1.290.736.673;2,209;
JHSF3;JHSF PART;ON      NM;305.915.142;0,082;
KLBN11;KLABIN S/A;UNT ED  N2;812.994.397;0,886;
RENT3;LOCALIZA;ON      NM;593.944.309;1,701;
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,412;
LWSA3;LOCAWEB;ON      NM;431.783.548;0,203;
LREN3;LOJAS RENNER;ON      NM;979.060.006;1,181;
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,818;
MRFG3;MARFRIG;ON      NM;348.234.011;0,358;
CASH3;MELIUZ;ON      NM;548.153.725;0,064;
BEEF3;MINERVA;ON      NM;254.073.639;0,120;
MRVE3;MRV;ON      NM;294.643.879;0,170;
MULT3;MULTIPLAN;ON      N2;272.718.548;0,281;
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,160;
PETR3;PETROBRAS;ON      N2;2.703.343.822;4,560;
PETR4;PETROBRAS;PN      N2;4.566.442.248;7,166;
PRIO3;PETRORIO;ON      NM;839.159.130;0,958;
PETZ3;PETZ;ON      NM;301.553.522;0,255;
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,032;
QUAL3;QUALICORP;ON      NM;277.027.077;0,209;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,183;
RDOR3;REDE D OR;ON      NM;562.360.943;1,334;
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,898;
SBSP3;SABESP;ON      NM;340.001.934;0,628;
SANB11;SANTANDER BR;UNT;362.703.399;0,534;
CSNA3;SID NACIONAL;ON;642.398.790;0,744;
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,327;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,926;
TAEE11;TAESA;UNT     N2;218.568.234;0,395;
VIVT3;TELEF BRASIL;ON;433.476.952;0,989;
TIMS3;TIM;ON      NM;808.619.532;0,505;
TOTS3;TOTVS;ON      NM;519.851.955;0,788;
UGPA3;ULTRAPAR;ON      NM;1.085.952.374;0,774;
USIM5;USIMINAS;PNA     N1;514.680.651;0,353;
VALE3;VALE;ON      NM;3.843.570.705;15,622;
VIIA3;VIA;ON      NM;1.596.295.753;0,287;
VBBR3;VIBRA;ON      NM;1.131.883.365;1,256;
WEGE3;WEG;ON  ED  NM;1.484.859.030;2,040;
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,312;
Quantidade Teorica Total;;;95.442.393.866;100,000
Redutor;;;19.045.134,42024840
